importo,livello,durata,tipologia,saldo,eta,estinto
3200,B,15,Elettrodomestici,888.96,35,1
4375,B,,Elettrodomestici,316.72,24,0
3000,F,6,Elettrodomestici,469.74,27,0
9000,B,5,Autovettura,1431.6,22,0
1900,A,17,Elettrodomestici,1012.29,30,0
1000,A,0,Autovettura,790.3,23,1
16000,D,5,Autovettura,1480.93,49,1
8500,D,2,Elettrodomestici,686.7,28,1
5000,A,2,Elettrodomestici,1406.94,22,0
4000,B,1,Elettrodomestici,987.62,24,0
9300,A,11,Autovettura,2292.43,24,0
10000,A,5,Autovettura,1283.61,32,0
6000,D,16,Elettrodomestici,790.3,25,1
12000,B,5,Elettrodomestici,1619.06,29,1
4400,A,2,Autovettura,1653.59,26,0
5000,C,14,Elettrodomestici,1382.27,23,1
15000,B,5,Elettrodomestici,1480.93,34,0
20050,B,15,Elettrodomestici,543.64,26,1
19200,C,5,Autovettura,2418.22,24,1
16000,D,3,Elettrodomestici,1135.62,25,0
8000,B,5,Elettrodomestici,1135.62,37,0
9800,C,,Elettrodomestici,518.98,32,1
2500,C,4,Autovettura,2469.65,25,1
20000,B,8,Elettrodomestici,1752.25,22,1
1500,B,0,Elettrodomestici,198.32,33,0
15000,B,5,Elettrodomestici,1505.6,29,0
2000,A,1,Elettrodomestici,822.73,25,0
13750,B,0,Elettrodomestici,938.29,29,0
5000,C,9,Elettrodomestici,790.3,23,1
18000,C,7,Autovettura,1078.44,26,1
21600,C,4,Autovettura,2270.23,22,1
3500,B,,Elettrodomestici,583.11,25,1
6000,C,10,Altro,1941.09,31,0
8000,D,9,Autovettura,1628.93,26,1
13000,C,1,Elettrodomestici,1184.85,24,1
24000,D,6,Elettrodomestici,1892.85,23,1
10000,C,2,Elettrodomestici,1973.65,27,1
8000,C,0,Elettrodomestici,790.3,28,0
3100,A,5,Autovettura,691.64,29,1
6500,F,9,Autovettura,5156.1,25,1
14000,D,8,Elettrodomestici,1875.58,28,0
11200,C,7,Autovettura,1530.26,24,0
6000,D,2,Elettrodomestici,864.29,22,0
5000,B,2,Autovettura,888.96,28,0
7000,D,2,Elettrodomestici,1382.27,22,0
7500,C,2,Elettrodomestici,888.96,22,1
6000,B,2,Elettrodomestici,671.9,29,1
3000,C,2,Elettrodomestici,257.52,21,0
1200,C,2,Elettronica,1135.62,33,0
6000,C,2,Elettrodomestici,494.31,35,0
3800,B,5,Autovettura,1012.29,25,0
4200,B,3,Elettronica,1135.62,29,0
10000,E,12,Elettrodomestici,1086.28,22,1
25000,D,3,Autovettura,1875.58,23,0
1000,D,2,Autovettura,671.9,21,0
5500,C,0,Elettrodomestici,494.31,23,0
14400,C,0,Elettrodomestici,1776.92,22,0
21000,E,0,Elettrodomestici,3602.17,34,1
5200,A,10,Autovettura,1411.87,25,0
8000,A,12,Autovettura,2550.53,28,0
8500,E,0,Elettronica,543.64,26,1
10000,A,1,Autovettura,1949.58,32,0
6000,E,1,Elettrodomestici,518.98,25,0
10000,B,2,Autovettura,3791.01,28,1
8000,D,9,Autovettura,1431.6,23,1
10000,A,8,Elettronica,731.1,21,0
12500,B,4,Elettrodomestici,1382.27,23,0
4000,B,5,Autovettura,1204.68,22,0
9200,E,5,Elettrodomestici,1135.62,23,0
6000,A,11,Autovettura,1900.25,28,0
8500,B,3,Elettrodomestici,1505.6,23,0
2500,A,0,Elettrodomestici,517.99,22,0
8000,B,1,Autovettura,1875.58,27,1
10000,A,9,Elettrodomestici,592.87,23,0
2500,B,3,Elettrodomestici,790.3,36,0
12250,C,2,Elettrodomestici,765.63,21,1
15000,A,9,Autovettura,666.97,26,1
8500,B,19,Autovettura,1110.95,27,0
17000,A,5,Autovettura,2122.24,31,0
10000,C,5,Elettrodomestici,3172.99,31,1
3250,D,3,Elettrodomestici,518.98,24,0
5500,C,13,Elettrodomestici,1283.61,27,1
2500,B,4,Elettrodomestici,168.73,21,0
10000,C,1,Elettrodomestici,642.3,22,0
6000,C,15,Elettrodomestici,839.63,25,1
5500,A,,Autovettura,1012.29,22,1
15000,C,3,Elettrodomestici,913.63,22,0
1750,B,11,Autovettura,168.73,24,0
15000,B,7,Autovettura,790.3,30,0
4000,C,4,Elettrodomestici,1027.09,28,1
3600,C,15,Elettrodomestici,1737.45,33,0
9500,D,,Elettrodomestici,442.51,31,0
22500,D,2,Elettrodomestici,1197.28,28,0
6400,B,10,Autovettura,1431.6,23,0
6800,A,0,Elettrodomestici,1234.28,23,1
12000,B,12,Autovettura,1382.27,25,1
1500,A,5,Autovettura,1801.59,30,0
10000,C,0,Elettrodomestici,1441.47,23,0
8000,B,5,Elettrodomestici,1036.95,24,1
4000,C,5,Autovettura,938.29,24,1
3250,C,4,Elettrodomestici,395.65,27,1
4000,A,0,Elettrodomestici,790.3,24,0
5000,C,6,Elettrodomestici,1875.58,24,1
6000,A,6,Autovettura,1628.93,22,1
8000,C,0,Elettrodomestici,938.29,27,1
6000,B,6,Elettrodomestici,827.3,22,0
14500,C,,Elettrodomestici,2075.71,28,1
2800,C,,Elettronica,340.4,38,1
16000,A,13,Autovettura,3454.18,29,0
7500,B,1,Autovettura,1135.62,32,0
5000,B,7,Elettrodomestici,1579.6,22,0
5000,C,2,Autovettura,1258.94,22,1
2700,A,,Elettrodomestici,272.32,30,0
9600,E,3,Altro,888.96,21,1
12000,C,0,Elettrodomestici,1135.62,33,0
6125,A,0,Elettrodomestici,1762.12,52,0
18000,C,1,Autovettura,2277.63,30,0
4800,A,5,Elettrodomestici,1078,21,0
5000,A,2,Elettronica,888.96,36,0
6000,A,6,Elettronica,642.3,22,1
5500,A,1,Elettrodomestici,945.99,30,0
4500,C,4,Autovettura,1752.25,25,1
6000,A,7,Elettrodomestici,1061.62,24,0
7500,B,4,Elettrodomestici,1102.54,25,0
6000,B,4,Elettrodomestici,805.81,22,0
5000,B,6,Autovettura,1160.28,23,1
2500,A,6,Autovettura,1900.25,28,0
9250,A,1,Elettrodomestici,494.31,22,1
3550,B,,Elettrodomestici,153.93,40,1
7500,A,2,Elettrodomestici,1382.27,36,1
7500,D,13,Elettrodomestici,1160.28,28,0
15000,A,12,Autovettura,1382.27,31,1
8500,C,2,Autovettura,2985.53,29,0
8000,B,4,Elettrodomestici,1628.93,31,0
12000,A,43,Autovettura,765.63,22,1
11200,A,4,Autovettura,1145.48,23,1
10000,A,5,Elettrodomestici,1012.29,30,0
11500,B,3,Autovettura,1258.94,32,1
8000,B,5,Autovettura,1160.28,24,0
5800,A,4,Autovettura,1012.29,25,0
1600,B,0,Elettrodomestici,281.2,21,0
10000,A,4,Autovettura,2245.66,23,0
12000,A,15,Autovettura,2985.53,26,1
21500,D,5,Elettrodomestici,1505.6,24,1
8000,B,3,Elettronica,4218.81,24,0
10750,A,4,Elettrodomestici,612.71,29,0
23450,B,1,Autovettura,3996.82,22,0
15000,B,4,Autovettura,1229.54,47,0
5000,C,5,Autovettura,1416.8,21,1
15000,C,5,Autovettura,1559.86,32,1
9000,A,2,Elettrodomestici,395.65,21,0
15000,C,20,Autovettura,2985.53,26,0
13000,B,28,Autovettura,1727.69,29,0
2500,D,3,Elettrodomestici,864.29,35,1
9000,A,11,Elettronica,1308.27,24,0
1200,A,,Autovettura,523.91,23,0
4000,B,17,Elettrodomestici,346.32,22,1
4000,D,6,Elettrodomestici,888.86,39,0
4000,C,0,Elettrodomestici,888.86,29,0
5000,B,6,Elettrodomestici,642.3,24,1
15000,A,,Elettrodomestici,671.9,21,0
15000,B,2,Autovettura,1770.61,24,0
24250,A,0,Autovettura,3108.86,40,0
6000,B,,Autovettura,1505.6,26,0
10800,B,2,Elettrodomestici,1283.71,47,0
5000,B,5,Elettrodomestici,2270.23,28,1
6000,B,5,Autovettura,2738.88,26,0
8600,A,2,Elettrodomestici,642.3,27,0
25000,B,2,Autovettura,1801.59,30,0
8000,D,1,Elettronica,849.49,33,1
1500,E,0,Elettrodomestici,346.32,22,0
4000,C,5,Elettrodomestici,1628.93,26,0
8000,E,1,Autovettura,888.96,22,0
17000,B,11,Autovettura,642.3,24,1
10000,B,9,Autovettura,1752.25,29,0
8000,B,21,Elettrodomestici,1234.28,23,0
10000,C,3,Autovettura,1135.62,27,0
8000,B,2,Elettrodomestici,790.3,22,1
10000,B,23,Elettrodomestici,888.96,23,1
8000,A,1,Autovettura,2911.54,27,0
7500,B,6,Elettrodomestici,1005.38,29,0
6000,B,4,Elettrodomestici,716.3,29,1
24000,C,4,Autovettura,2985.53,29,0
9000,B,14,Autovettura,2615.55,30,1
8000,C,5,Elettrodomestici,1234.28,28,0
20000,A,20,Autovettura,2122.24,25,0
1800,A,9,Elettrodomestici,1145.48,37,1
3600,C,3,Elettronica,765.63,25,1
4000,B,18,Autovettura,2270.23,31,0
20000,B,11,Autovettura,1505.6,25,1
25000,A,3,Autovettura,2738.88,28,0
9600,D,5,Elettrodomestici,1012.29,22,1
7000,D,26,Autovettura,1240.62,37,1
16000,B,7,Elettrodomestici,950.48,24,1
15000,A,26,Elettrodomestici,849.49,23,0
7000,A,8,Elettrodomestici,1637.71,25,0
2000,B,7,Elettrodomestici,647.85,28,0
11375,B,32,Autovettura,3777.89,37,1
20000,D,5,Elettrodomestici,1209.61,22,1
5000,B,3,Elettrodomestici,423.27,24,1
10000,C,3,Elettrodomestici,1271.28,26,0
4800,C,4,Elettrodomestici,861.83,35,1
8800,B,14,Elettronica,1273.74,32,0
4500,B,2,Elettrodomestici,405.52,21,0
7000,A,,Elettronica,1059.94,23,1
10800,B,7,Autovettura,1416.85,22,0
8500,B,7,Autovettura,1875.58,23,0
1000,C,0,Elettrodomestici,198.32,22,1
10000,C,9,Elettrodomestici,1160.28,22,1
19800,D,0,Autovettura,1752.25,22,0
6000,D,0,Autovettura,1411.87,24,0
6250,B,3,Autovettura,1258.94,31,0
10500,B,19,Elettrodomestici,1767.05,27,0
7500,D,7,Elettrodomestici,1161.83,30,1
3000,A,7,Elettrodomestici,716.3,26,0
11400,A,1,Elettrodomestici,765.63,31,1
4000,C,0,Elettrodomestici,395.65,26,0
8675,D,7,Elettrodomestici,938.29,25,0
12000,A,4,Autovettura,1680.03,29,0
9250,D,7,Elettrodomestici,888.96,23,0
6000,D,4,Autovettura,1595.73,22,1
5025,A,0,Autovettura,1209.61,22,0
4800,C,2,Elettrodomestici,1086.28,26,1
2000,A,0,Autovettura,1258.94,23,0
12000,B,3,Autovettura,731.1,29,0
5000,B,2,Elettronica,666.87,23,0
7500,C,11,Autovettura,1808.21,35,0
5000,D,2,Elettrodomestici,3010.2,22,1
24000,G,8,Autovettura,1382.27,30,1
6500,B,5,Autovettura,901.29,25,0
2000,D,3,Autovettura,272.32,31,1
5800,C,2,Autovettura,888.96,25,1
15000,B,4,Autovettura,2581.02,24,0
7000,B,2,Elettrodomestici,1135.71,21,1
10000,A,3,Autovettura,1505.6,28,0
4500,C,8,Autovettura,1135.62,34,1
12000,D,3,Autovettura,814.96,30,1
5000,A,0,Elettrodomestici,913.63,28,1
12000,C,10,Autovettura,1850.82,28,0
3700,E,5,Elettrodomestici,814.96,41,0
8000,B,0,Elettrodomestici,473.3,23,1
5000,D,2,Elettronica,518.98,32,1
3000,B,16,Elettrodomestici,533.68,28,0
19000,G,0,Autovettura,1875.58,22,1
1750,D,3,Elettrodomestici,464.71,23,1
5000,D,3,Elettrodomestici,494.31,21,1
12000,D,4,Elettrodomestici,5698.74,27,1
8850,B,4,Autovettura,1382.27,42,0
6000,A,13,Autovettura,1323.07,30,0
16000,C,3,Elettrodomestici,1135.62,35,1
5600,B,2,Elettronica,1135.62,22,0
15000,B,1,Elettrodomestici,1690.59,23,1
12325,A,14,Autovettura,3355.52,34,1
750,C,0,Elettrodomestici,370.98,25,0
10000,F,3,Elettrodomestici,1875.58,25,1
8000,A,4,Autovettura,1382.27,28,0
9950,B,3,Autovettura,4342.14,25,1
7000,B,2,Elettrodomestici,642.3,21,1
8000,B,4,Elettrodomestici,553.51,35,0
11000,A,4,Autovettura,1875.58,25,0
28000,B,23,Elettrodomestici,2862.2,22,1
7000,A,5,Autovettura,1493.27,31,0
7200,C,6,Elettrodomestici,1135.62,36,0
5000,B,12,Autovettura,2319.56,25,1
10000,A,17,Autovettura,1382.27,24,0
2500,B,13,Autovettura,1554.93,23,0
3000,C,3,Autovettura,1012.29,22,0
21000,C,15,Elettronica,4095.48,33,0
13375,A,1,Autovettura,1357.61,22,0
2000,B,8,Elettrodomestici,1382.27,22,0
16000,A,4,Autovettura,2294.9,23,0
3500,C,3,Elettrodomestici,642.3,22,1
3000,A,,Autovettura,568.31,26,0
25000,B,4,Autovettura,3158.19,25,1
14000,A,13,Elettrodomestici,3552.84,24,0
3000,A,2,Autovettura,1012.29,28,0
25000,D,12,Elettrodomestici,1086.28,22,1
15000,C,2,Autovettura,2129.66,32,0
3000,B,,Elettrodomestici,461.46,34,0
4000,B,2,Elettrodomestici,913.63,23,1
5000,B,0,Elettrodomestici,864.29,41,0
20000,C,1,Autovettura,2171.57,39,0
10600,C,0,Elettrodomestici,671.9,22,1
4750,D,3,Elettrodomestici,257.52,31,1
12000,C,3,Elettrodomestici,997.78,22,0
3500,B,7,Autovettura,765.63,22,0
1000,B,,Autovettura,553.51,22,1
30000,B,27,Elettrodomestici,2294.9,23,1
24800,A,5,Autovettura,3108.86,29,0
5000,A,8,Autovettura,2862.2,29,0
10000,D,1,Elettrodomestici,1382.27,23,1
10000,B,9,Autovettura,1752.25,29,0
4750,B,1,Elettrodomestici,99.66,28,0
12000,C,6,Elettrodomestici,1244.14,22,1
1875,C,1,Elettrodomestici,257.52,24,0
5500,C,2,Elettrodomestici,1443.24,24,0
24250,B,12,Elettronica,1248.53,26,1
15000,B,5,Elettrodomestici,2270.23,25,0
7125,B,0,Autovettura,464.71,22,1
10000,A,4,Elettrodomestici,1135.62,22,0
1600,D,1,Elettrodomestici,888.96,35,0
25000,E,1,Autovettura,2516.89,25,1
5000,B,2,Elettrodomestici,1024.62,27,0
10000,B,1,Elettrodomestici,1012.29,28,0
5000,B,1,Elettrodomestici,494.31,36,0
8400,A,24,Autovettura,1276.31,28,0
10000,C,4,Elettrodomestici,420.31,22,0
8000,B,3,Elettrodomestici,918.56,29,0
2500,B,2,Elettrodomestici,494.31,27,0
6800,C,13,Elettrodomestici,1160.28,33,1
5000,A,2,Elettronica,1101.08,23,1
3250,B,4,Autovettura,864.29,22,0
5225,D,4,Autovettura,592.97,23,1
9000,C,3,Elettrodomestici,740.97,33,1
4000,B,16,Autovettura,888.96,22,0
10000,A,6,Autovettura,3108.86,30,0
5000,D,0,Elettrodomestici,148.99,21,1
8000,B,2,Elettrodomestici,1135.71,47,1
20000,B,7,Elettrodomestici,1086.28,22,0
9600,D,5,Elettrodomestici,754.78,23,0
5200,C,5,Autovettura,1382.27,23,1
4000,A,15,Autovettura,1752.25,27,1
10000,B,9,Autovettura,906.32,32,0
10000,C,3,Autovettura,1875.58,23,1
5400,B,3,Elettrodomestici,642.3,26,0
15000,E,2,Autovettura,1815,28,0
10000,A,3,Elettrodomestici,1998.91,39,0
2400,D,2,Elettrodomestici,1382.27,26,0
1000,D,,Elettrodomestici,494.31,33,0
4200,B,17,Autovettura,701.5,22,1
20000,B,11,Altro,4638.12,36,1
25000,D,2,Autovettura,1135.62,24,0
27000,A,5,Autovettura,1234.28,34,0
11100,C,6,Elettrodomestici,1012.29,27,1
25000,B,3,Autovettura,1628.83,25,0
9500,C,1,Elettrodomestici,888.96,23,1
4500,A,2,Autovettura,928.42,30,0
12000,B,12,Autovettura,3081.73,27,1
6950,D,30,Autovettura,3030,23,0
5000,A,2,Elettrodomestici,518.98,24,1
11000,C,17,Autovettura,1184.85,25,1
6000,C,20,Autovettura,1382.27,28,1
15000,A,17,Elettronica,1308.27,27,0
8500,D,0,Autovettura,1258.84,31,1
15000,C,0,Autovettura,1924.91,28,0
3500,B,1,Elettrodomestici,2122.24,24,1
21000,A,5,Autovettura,2023.58,23,0
12000,B,4,Elettronica,928.42,22,0
4000,B,19,Autovettura,3108.86,30,0
14000,C,9,Elettrodomestici,888.96,22,0
9600,A,0,Elettrodomestici,1998.91,22,1
20000,B,1,Elettrodomestici,716.3,24,1
6000,B,2,Elettrodomestici,1012.29,29,1
3000,B,2,Autovettura,1135.62,30,0
1200,B,1,Elettrodomestici,222.99,24,0
4600,C,5,Elettrodomestici,1135.62,26,1
15000,A,2,Elettrodomestici,1382.27,34,0
5125,A,6,Autovettura,760.7,25,1
2200,D,2,Elettrodomestici,301.92,21,0
3600,B,2,Elettrodomestici,795.23,27,0
14300,B,8,Autovettura,1184.95,33,1
3000,A,18,Autovettura,814.96,32,1
2000,C,8,Elettrodomestici,995.12,21,0
4000,A,1,Autovettura,1234.28,30,0
5000,C,2,Autovettura,3059.53,33,1
5000,C,0,Elettrodomestici,2122.24,41,0
23100,D,1,Autovettura,3972.15,33,1
7500,B,4,Autovettura,1875.58,26,1
13000,B,2,Elettrodomestici,1628.93,24,0
10000,D,4,Elettrodomestici,819.9,24,0
1675,A,0,Elettrodomestici,1382.27,24,0
4000,E,7,Elettronica,1589.46,25,1
10000,A,4,Autovettura,814.96,28,0
5775,A,,Autovettura,779.3,22,1
5500,B,0,Elettrodomestici,1172.71,29,0
9000,B,3,Elettrodomestici,553.51,24,1
15000,B,7,Autovettura,1480.93,33,1
8300,C,,Autovettura,464.71,22,1
3000,B,13,Autovettura,1283.61,32,0
6000,A,6,Elettrodomestici,1086.28,22,1
9000,A,2,Elettronica,1417.42,28,0
8400,C,2,Elettrodomestici,723.21,37,0
15000,D,,Elettronica,1441.47,25,0
4000,B,7,Autovettura,814.96,37,0
16000,B,1,Elettrodomestici,2492.22,27,0
2000,B,5,Autovettura,642.3,26,1
10000,B,4,Autovettura,987.62,22,0
13000,B,8,Autovettura,1012.29,23,0
7775,A,0,Autovettura,938.29,43,0
12375,C,2,Elettrodomestici,1875.58,25,0
7000,A,5,Elettrodomestici,839.63,26,0
4500,A,2,Elettrodomestici,716.3,22,0
12000,C,17,Autovettura,3602.17,32,0
12000,B,1,Autovettura,3700.83,54,0
10000,E,3,Elettrodomestici,642.3,29,0
12000,B,2,Elettrodomestici,1752.25,24,1
6000,C,2,Elettrodomestici,370.98,23,0
5600,C,14,Autovettura,2862.2,26,0
1800,C,3,Autovettura,1086.28,23,1
4800,B,5,Autovettura,1619.06,35,1
9000,B,7,Autovettura,980.22,25,1
7000,A,20,Autovettura,1027.09,40,0
6000,D,14,Autovettura,1218.5,26,1
5400,C,15,Elettrodomestici,1382.27,37,1
3850,A,0,Autovettura,4095.48,25,0
3600,B,2,Elettrodomestici,395.65,27,0
8800,A,7,Autovettura,1554.93,22,0
6500,A,33,Autovettura,731.1,31,0
6100,A,0,Autovettura,1135.62,23,1
6000,B,2,Elettronica,765.63,27,1
6000,C,3,Autovettura,962.96,28,1
20000,C,4,Autovettura,1431.6,29,0
10750,A,7,Autovettura,938.29,23,1
4000,B,0,Elettrodomestici,444.98,24,1
10750,B,5,Autovettura,844.46,28,0
10425,B,4,Elettronica,1382.27,27,1
8000,A,19,Autovettura,2048.24,23,1
4800,A,5,Elettrodomestici,642.3,24,0
15000,A,2,Autovettura,1998.91,28,0
9600,A,7,Elettrodomestici,1516.7,24,0
4500,C,3,Elettronica,1258.94,27,1
1000,D,0,Autovettura,568.31,23,1
7075,D,3,Elettronica,1454.05,33,1
7000,B,6,Elettrodomestici,1258.94,36,1
2000,C,4,Elettronica,888.96,24,0
12000,C,1,Elettrodomestici,888.96,22,0
8000,B,3,Elettrodomestici,592.97,21,1
5500,A,2,Elettrodomestici,802.63,21,1
2500,A,,Elettrodomestici,287.12,23,0
5000,D,5,Elettrodomestici,444.98,21,0
21000,D,2,Elettrodomestici,1468.6,33,0
4800,A,0,Elettrodomestici,1258.94,37,0
5175,B,3,Elettrodomestici,272.32,23,1
15000,B,2,Elettrodomestici,1603.32,36,1
2000,B,5,Autovettura,316.72,22,0
20000,D,4,Elettrodomestici,1589.46,24,1
5000,A,,Elettrodomestici,888.96,28,1
25000,C,6,Elettrodomestici,3848.83,26,0
20000,B,9,Elettrodomestici,1826.25,23,0
10625,B,5,Elettrodomestici,864.29,35,0
4800,B,4,Elettrodomestici,849.49,32,1
4000,B,5,Autovettura,1579.69,26,1
6000,A,1,Elettrodomestici,1160.28,34,0
7050,A,4,Autovettura,938.29,22,0
4000,A,5,Autovettura,1160.28,23,0
9000,A,5,Elettrodomestici,800.16,27,0
2500,A,9,Autovettura,938.29,29,0
3600,A,1,Elettrodomestici,1382.27,25,1
6000,B,4,Elettrodomestici,1900.25,27,1
6500,C,12,Elettronica,1443.93,24,0
11000,A,22,Elettrodomestici,420.31,31,1
15000,F,0,Elettrodomestici,4342.14,28,1
20000,G,0,Autovettura,1796.65,27,0
1000,C,2,Elettrodomestici,75,24,0
7500,D,2,Autovettura,1670.56,21,0
8700,A,3,Elettronica,1505.6,25,0
8800,D,14,Elettrodomestici,1044.25,29,0
20000,D,4,Autovettura,1752.25,25,0
15000,D,1,Altro,1505.6,22,0
20000,D,3,Elettrodomestici,1657.71,23,1
10000,B,1,Autovettura,802.63,33,1
6000,A,0,Elettrodomestici,470.63,21,1
5000,A,19,Autovettura,1234.28,40,0
10000,C,6,Autovettura,7302,27,0
3500,C,27,Autovettura,790.3,24,0
12000,C,2,Autovettura,4095.48,34,1
14000,A,14,Autovettura,1075.92,21,0
18200,B,4,Elettrodomestici,790.3,24,0
4000,B,6,Autovettura,1382.27,25,0
14500,D,11,Autovettura,2097.57,25,1
2000,B,2,Elettrodomestici,691.64,24,1
6800,E,7,Elettrodomestici,1875.58,24,0
21000,C,6,Elettronica,1579.6,26,1
7000,D,0,Elettrodomestici,839.63,22,1
6000,A,4,Elettrodomestici,888.96,22,1
9000,B,0,Elettrodomestici,1184.95,23,0
1200,B,1,Autovettura,888.96,23,0
2400,B,4,Elettrodomestici,1628.93,28,0
10000,C,0,Autovettura,1382.27,21,0
13000,B,9,Autovettura,1579.6,35,1
2000,D,2,Elettrodomestici,716.3,38,1
12000,A,7,Autovettura,1172.12,24,0
22000,B,11,Autovettura,2122.24,37,0
7750,B,9,Elettrodomestici,2664.88,25,1
2100,E,18,Elettrodomestici,1382.27,24,1
8000,B,2,Elettrodomestici,1382.27,22,0
8000,A,2,Elettrodomestici,938.29,23,1
10000,C,4,Elettrodomestici,740.87,25,1
10000,A,16,Autovettura,1345.27,30,1
9000,C,3,Elettrodomestici,790.3,22,0
5600,C,0,Elettrodomestici,864.29,22,1
17000,A,16,Autovettura,3232.19,24,0
13000,D,1,Altro,1320.61,25,1
5000,A,5,Autovettura,940.31,27,1
12000,B,15,Elettronica,1124.17,27,0
35000,D,10,Autovettura,8535.28,35,0
6000,A,0,Elettrodomestici,765.63,29,1
9500,A,4,Autovettura,2368.89,32,0
21000,B,17,Elettrodomestici,2615.55,39,0
10000,A,5,Elettrodomestici,1258.94,24,0
7000,B,19,Autovettura,1619.06,25,1
12000,C,5,Elettrodomestici,1505.6,22,0
13200,D,0,Elettrodomestici,1382.27,26,1
20000,B,5,Autovettura,2368.89,23,0
2000,B,2,Elettrodomestici,1752.25,24,0
12000,A,6,Elettrodomestici,790.3,29,1
9500,A,12,Autovettura,1090.03,23,0
4500,A,4,Elettrodomestici,691.64,45,0
23500,B,,Elettrodomestici,1175.08,34,1
4400,A,11,Elettronica,926.45,25,0
13000,B,5,Elettrodomestici,864.29,22,0
2500,C,1,Elettrodomestici,1189.39,24,1
10000,C,5,Elettrodomestici,1258.84,24,0
5000,A,0,Elettrodomestici,596.43,29,0
4500,A,3,Elettrodomestici,1135.62,22,1
18000,E,2,Elettrodomestici,1505.6,26,1
2000,C,2,Elettrodomestici,583.11,23,1
8525,A,2,Elettrodomestici,1175.08,62,0
3000,A,11,Autovettura,2048.24,28,1
12000,B,9,Autovettura,1801.59,40,0
5000,A,8,Elettronica,1505.6,27,1
3000,B,5,Elettrodomestici,765.63,22,0
6000,A,0,Elettrodomestici,1263.44,40,0
2250,C,,Autovettura,330.33,22,0
6075,A,3,Autovettura,814.96,24,0
8000,D,4,Elettrodomestici,375.92,22,1
12000,A,1,Autovettura,2368.89,31,0
16000,F,4,Autovettura,1998.91,31,1
1500,A,1,Elettrodomestici,740.87,23,0
13000,D,14,Elettrodomestici,592.97,26,1
10000,A,4,Elettrodomestici,888.96,25,1
25000,E,4,Elettrodomestici,1258.94,41,1
8000,C,7,Elettronica,740.97,27,1
1000,A,12,Autovettura,958.17,23,0
8525,C,29,Elettrodomestici,2615.55,30,1
11500,A,5,Elettrodomestici,1443.93,24,0
35000,D,7,Autovettura,2368.89,23,0
14500,B,0,Autovettura,1031.03,30,1
12000,A,5,Autovettura,1628.83,24,1
6000,C,11,Elettrodomestici,617.64,23,0
12000,A,,Elettrodomestici,934.1,32,1
5125,B,,Elettronica,1135.62,27,0
6625,A,1,Autovettura,1480.93,22,0
5000,A,25,Elettronica,790.3,31,1
10000,B,7,Elettronica,765.63,23,0
5000,B,3,Elettrodomestici,1505.6,22,0
3600,B,0,Elettrodomestici,888.96,24,0
7500,B,11,Autovettura,1850.92,25,0
10000,C,15,Elettrodomestici,642.3,46,1
18500,B,4,Elettrodomestici,748.37,24,0
2500,D,2,Elettrodomestici,346.32,27,1
3000,B,23,Autovettura,1234.28,22,0
25000,B,9,Autovettura,2211.03,21,0
6000,B,1,Elettrodomestici,2664.88,28,0
11425,B,8,Autovettura,1308.27,22,0
25000,B,11,Elettrodomestici,1086.28,33,0
6800,A,5,Elettrodomestici,1628.93,25,0
7000,A,11,Elettrodomestici,1184.95,26,0
25000,D,1,Autovettura,1480.93,26,1
5000,A,2,Autovettura,1431.6,23,0
15000,A,11,Altro,1628.93,28,1
15000,B,19,Elettrodomestici,938.29,23,0
5600,C,1,Autovettura,1998.91,24,1
25000,D,3,Elettrodomestici,2122.24,39,1
11300,B,7,Autovettura,790.3,23,0
7200,A,32,Autovettura,617.64,26,0
7000,D,6,Autovettura,814.96,25,0
8000,C,7,Autovettura,2349.65,24,1
2500,C,6,Autovettura,1258.94,34,0
16000,B,1,Elettrodomestici,1752.25,26,0
10000,B,10,Elettrodomestici,1283.71,23,0
7000,A,0,Elettrodomestici,2309.7,42,0
16725,B,5,Autovettura,1620.01,27,0
5000,D,5,Autovettura,2245.57,23,1
9000,A,4,Autovettura,1920.08,33,0
10000,A,9,Elettrodomestici,1184.95,29,0
10000,C,17,Autovettura,1382.27,26,1
3000,A,,Autovettura,346.32,47,1
10000,A,0,Elettrodomestici,423.27,32,0
15000,C,0,Autovettura,1924.91,28,0
3800,A,0,Autovettura,1061.62,29,1
8500,A,4,Autovettura,802.63,33,0
15000,B,5,Autovettura,1727.59,32,0
5000,C,4,Elettrodomestici,1332.94,23,0
1500,A,,Elettrodomestici,1012.29,30,1
25000,D,15,Elettrodomestici,1678.26,25,1
8000,G,0,Elettrodomestici,642.3,35,1
3975,B,5,Autovettura,779.64,29,0
15250,C,6,Autovettura,1271.1,26,1
4000,A,2,Autovettura,1160.28,26,0
30000,D,3,Elettrodomestici,3848.83,61,0
7500,D,17,Autovettura,3501.04,25,1
12000,B,3,Elettronica,642.3,26,1
6000,B,11,Autovettura,1036.85,37,1
12000,A,4,Autovettura,2689.55,23,0
14500,C,8,Elettrodomestici,2122.24,33,0
4500,C,6,Elettrodomestici,913.63,23,0
5000,B,0,Elettrodomestici,304.88,22,1
35000,B,6,Autovettura,2615.55,30,1
18000,D,13,Elettronica,1382.27,27,1
10000,D,16,Elettrodomestici,1752.25,26,0
5000,A,5,Elettrodomestici,577.19,22,0
20000,A,11,Elettrodomestici,1352.67,23,0
4375,A,7,Autovettura,324.32,38,0
9000,A,3,Elettrodomestici,1154.36,26,0
6000,B,2,Autovettura,1382.27,21,0
